"Timestamp","Average A/L MCQ Marks (Out of 50)","Number of A/L Attempts","Which social media platforms do you use?","Approximately how many hours per day do you spend on social media?","Approximately how many hours per day do you spend on self-study (outside of school/tuition)?","Select the type of tuition class you attend for Subject 1:","Select the type of tuition class you attend for Subject 2:","Select the type of tuition class you attend for Subject 3:","How many years of past papers have you completed for each subject (on average)?","What was your average school attendance percentage during the A/L period?","Were you in a romantic relationship during your A/L preparation period?","On average, how would you rate your stress level during the A/L preparation period?"
"2026/01/22 6:34:17 PM GMT+5:30","35","1st Attempt","WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","Moderate"
"2026/01/22 6:35:20 PM GMT+5:30","30","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","Very High"
"2026/01/22 6:37:36 PM GMT+5:30","30","3rd Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","3-5 hours","6+ hours","Mass Class","Mass Class","None","More than 10 years","Above 90%","No","Very High"
"2026/01/22 6:38:57 PM GMT+5:30","33","1st Attempt","WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","Moderate"
"2026/01/22 6:41:31 PM GMT+5:30","","1st Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube","3-5 hours","0-2 hours","Mass Class","","","More than 10 years","Below 50%","Yes","Very High"
"2026/01/22 6:41:49 PM GMT+5:30","40","1st Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","75-90%","Yes","Moderate"
"2026/01/22 6:44:19 PM GMT+5:30","40","1st Attempt","Instagram;WhatsApp;Telegram;YouTube","Over 5 hours","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","50-75%","No","High"
"2026/01/22 6:45:27 PM GMT+5:30","24","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube","3-5 hours","2-4 hours","Mass Class","Mass Class","Mass Class","1-3 years","75-90%","No","High"
"2026/01/22 6:45:32 PM GMT+5:30","40","3rd Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","None","None","None","8-10 years","75-90%","","High"
"2026/01/22 6:55:08 PM GMT+5:30","35","1st Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Individual","Individual","","8-10 years","50-75%","No","Low"
"2026/01/22 6:59:19 PM GMT+5:30","25","1st Attempt","Facebook;WhatsApp;Telegram;YouTube","Less than 1 hour","0-2 hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","No","Moderate"
"2026/01/22 7:02:06 PM GMT+5:30","30.","1st Attempt","Facebook;TikTok;WhatsApp;Telegram;YouTube","Less than 1 hour","0-2 hours","Mass Class","Mass Class","Mass Class","4-7 years","Below 50%","Yes","Low"
"2026/01/22 7:02:46 PM GMT+5:30","35","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube;Other","Over 5 hours","0-2 hours","Mass Class","Mass Class","Mass Class","More than 10 years","Below 50%","No","High"
"2026/01/22 7:02:56 PM GMT+5:30","","1st Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","2-4 hours","Mass Class","Mass Class;None","Group","8-10 years","Above 90%","No","Moderate"
"2026/01/22 7:10:58 PM GMT+5:30","","2nd Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","0-2 hours","Individual;Mass Class","Individual;Mass Class","Mass Class","4-7 years","75-90%","No","Moderate"
"2026/01/22 7:26:03 PM GMT+5:30","30","2nd Attempt","Facebook;WhatsApp;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","75-90%","Yes","Moderate"
"2026/01/22 7:33:22 PM GMT+5:30","28","3rd Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube;Other","1-3 hours","2-4 hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","No","Moderate"
